4 8  9 -31.318701 -Inf
4 8  10 -33.981009 -Inf
4 8  11 -23.995095 -Inf
4 8  12 -32.225931 -Inf
4 8  13 -29.555045 -Inf
4 8  14 -28.513811 -1117.017121
4 8  15 -33.219952 -1052.805561
4 8  16 -32.004836 -Inf
4 8  17 -26.599008 -Inf
4 8  18 -30.183419 -Inf
4 8  19 -30.156540 -Inf
4 8  20 -31.890059 -Inf
4 9  10 -46.831323 -Inf
4 9  11 -41.803379 -Inf
4 9  12 -47.266577 -Inf
4 9  13 -47.900963 -Inf
4 9  14 -50.398010 -Inf
4 9  15 -30.891622 -Inf
4 9  16 -58.922928 -Inf
4 9  17 -35.393362 -Inf
4 9  18 -46.514345 -Inf
4 9  19 -48.307843 -Inf
4 9  20 -49.132493 -Inf
4 10  11 -46.230973 -Inf
4 10  12 -47.552616 -Inf
4 10  13 -49.999582 -Inf
4 10  14 -45.066728 -Inf
4 10  15 -33.511609 -Inf
4 10  16 -51.538742 -Inf
4 10  17 -44.213961 -Inf
4 10  18 -48.839578 -Inf
4 10  19 -48.571897 -Inf
4 10  20 -48.302979 -Inf
4 11  12 -35.998821 -Inf
4 11  13 -43.974547 -Inf
4 11  14 -52.262402 -Inf
4 11  15 -28.179720 -Inf
4 11  16 -43.894448 -Inf
4 11  17 -44.652896 -Inf
4 11  18 -42.881418 -Inf
4 11  19 -46.018051 -Inf
4 11  20 -52.841778 -Inf
4 12  13 -46.482897 -Inf
4 12  14 -43.357345 -Inf
4 12  15 -31.061941 -Inf
4 12  16 -45.703670 -Inf
4 12  17 -36.869737 -Inf
4 12  18 -50.514963 -Inf
4 12  19 -48.534180 -Inf
4 12  20 -41.545059 -Inf
4 13  14 -45.178809 -Inf
4 13  15 -29.693077 -Inf
4 13  16 -47.793388 -Inf
4 13  17 -39.107522 -Inf
4 13  18 -46.035425 -Inf
4 13  19 -53.524444 -Inf
4 13  20 -44.410415 -Inf
4 14  15 -29.027647 -1209.450609
4 14  16 -50.429871 -Inf
4 14  17 -41.856520 -Inf
4 14  18 -44.302303 -Inf
4 14  19 -46.038256 -Inf
4 14  20 -58.248880 -Inf
