1  -83.000000 0.000000
3 8 -64.621164 -Inf
3 9 -57.777718 -0.040560
3 10 -24.373836 -0.004520
3 11 -62.031511 -Inf
3 12 -39.240402 -620.741491
3 13 -71.841309 -Inf
3 14 -59.131741 -Inf
3 15 -73.565927 -Inf
3 16 -62.996392 -Inf
3 17 -44.908271 -676.158117
3 18 -71.198286 -Inf
3 19 -71.020008 -Inf
3 20 -64.089049 -Inf
3 1  2 -28.293959 -Inf
3 1  4 -57.304661 -Inf
3 1  5 -50.951657 -Inf
3 1  6 -32.990053 -Inf
3 1  7 -39.732361 -Inf
3 1  8 -48.600828 -Inf
3 1  9 -37.628744 -Inf
3 1  10 -21.975588 -Inf
3 1  11 -50.896954 -Inf
3 1  12 -34.819478 -Inf
3 1  13 -56.192007 -Inf
3 1  14 -48.890950 -Inf
3 1  15 -56.425389 -Inf
3 1  16 -53.763675 -Inf
3 1  17 -38.233398 -Inf
3 1  18 -55.678129 -Inf
3 1  19 -56.856266 -Inf
3 1  20 -50.239517 -Inf
3 2  4 -28.863182 -Inf
3 2  5 -24.991812 -Inf
3 2  6 -24.801937 -875.458192
3 2  7 -28.762544 -Inf
3 2  8 -27.588543 -Inf
3 2  9 -18.410641 -220.338568
3 2  10 -20.157597 -220.302529
3 2  11 -25.395483 -Inf
3 2  12 -25.221169 -841.039500
3 2  13 -25.882120 -Inf
3 2  14 -28.668220 -Inf
3 2  15 -27.209292 -Inf
3 2  16 -27.749102 -Inf
3 2  17 -26.753541 -896.456126
3 2  18 -29.092441 -Inf
3 2  19 -26.661576 -Inf
3 2  20 -27.960299 -Inf
3 4  5 -54.395076 -Inf
3 4  6 -32.523097 -Inf
3 4  7 -44.285856 -Inf
3 4  8 -54.807182 -Inf
3 4  9 -44.850012 -Inf
3 4  10 -21.029060 -Inf
3 4  11 -57.793461 -Inf
3 4  12 -35.828785 -Inf
3 4  13 -59.899587 -Inf
3 4  14 -50.408247 -Inf
3 4  15 -59.784726 -Inf
3 4  16 -50.905936 -Inf
3 4  17 -42.354481 -Inf
3 4  18 -49.043812 -Inf
3 4  19 -59.150621 -Inf
3 4  20 -53.808208 -Inf
3 5  6 -29.158736 -Inf
3 5  7 -40.514864 -Inf
3 5  8 -45.428268 -Inf
3 5  9 -35.517459 -Inf
3 5  10 -18.651450 -Inf
3 5  11 -49.209503 -Inf
3 5  12 -34.510292 -Inf
3 5  13 -56.415598 -Inf
3 5  14 -46.467055 -Inf
3 5  15 -47.279812 -Inf
3 5  16 -49.923490 -Inf
3 5  17 -40.005434 -Inf
3 5  18 -41.237703 -Inf
3 5  19 -56.341872 -Inf
3 5  20 -46.906492 -Inf
3 6  7 -32.633017 -Inf
3 6  8 -33.646799 -Inf
3 6  9 -25.949749 -655.200742
3 6  10 -17.252390 -655.164703
3 6  11 -27.930284 -Inf
3 6  12 -31.021688 -1275.901674
3 6  13 -33.200301 -Inf
3 6  14 -35.611994 -Inf
3 6  15 -36.311404 -Inf
3 6  16 -27.462274 -Inf
3 6  17 -29.803409 -1331.318300
3 6  18 -34.771780 -Inf
3 6  19 -34.560859 -Inf
3 6  20 -33.601438 -Inf
3 7  8 -41.108389 -Inf
3 7  9 -27.960518 -Inf
3 7  10 -21.461148 -Inf
3 7  11 -43.127612 -Inf
3 7  12 -32.045054 -Inf
3 7  13 -43.339409 -Inf
3 7  14 -43.341864 -Inf
3 7  15 -44.308976 -Inf
3 7  16 -40.509833 -Inf
3 7  17 -34.331311 -Inf
3 7  18 -40.208983 -Inf
3 7  19 -41.156785 -Inf
3 7  20 -45.124442 -Inf
3 8  9 -49.566697 -Inf
3 8  10 -20.020604 -Inf
3 8  11 -48.501884 -Inf
3 8  12 -33.248557 -Inf
3 8  13 -49.268001 -Inf
3 8  14 -50.157759 -Inf
3 8  15 -55.989017 -Inf
3 8  16 -45.193653 -Inf
3 8  17 -36.819470 -Inf
3 8  18 -49.287321 -Inf
3 8  19 -48.495718 -Inf
3 8  20 -55.024984 -Inf
3 9  10 -15.063392 -0.045080
3 9  11 -38.771300 -Inf
3 9  12 -28.717984 -620.782050
3 9  13 -44.223611 -Inf
3 9  14 -38.453155 -Inf
3 9  15 -44.366372 -Inf
3 9  16 -33.427545 -Inf
3 9  17 -33.430139 -676.198677
3 9  18 -49.615116 -Inf
3 9  19 -42.121251 -Inf
3 9  20 -42.650873 -Inf
3 10  11 -18.767251 -Inf
3 10  12 -17.073690 -620.746011
3 10  13 -22.604672 -Inf
3 10  14 -22.381829 -Inf
3 10  15 -22.701378 -Inf
3 10  16 -23.367364 -Inf
3 10  17 -18.077459 -676.162637
3 10  18 -18.023159 -Inf
3 10  19 -21.189135 -Inf
3 10  20 -21.539306 -Inf
3 11  12 -30.366881 -Inf
3 11  13 -56.777130 -Inf
3 11  14 -50.057480 -Inf
3 11  15 -48.443500 -Inf
3 11  16 -47.642322 -Inf
3 11  17 -33.140581 -Inf
3 11  18 -39.087578 -Inf
3 11  19 -55.524688 -Inf
3 11  20 -49.278972 -Inf
3 12  13 -33.696043 -Inf
3 12  14 -34.854939 -Inf
3 12  15 -34.367634 -Inf
3 12  16 -28.390398 -Inf
3 12  17 -32.350795 -1296.899608
3 12  18 -37.926437 -Inf
3 12  19 -35.181039 -Inf
3 12  20 -34.299666 -Inf
3 13  14 -51.202880 -Inf
3 13  15 -54.520002 -Inf
3 13  16 -56.643536 -Inf
3 13  17 -40.209093 -Inf
3 13  18 -56.954701 -Inf
3 13  19 -67.660070 -Inf
3 13  20 -53.256811 -Inf
3 14  15 -53.030077 -Inf
3 14  16 -48.502027 -Inf
3 14  17 -38.033572 -Inf
3 14  18 -48.979300 -Inf
3 14  19 -50.943901 -Inf
3 14  20 -54.104221 -Inf
3 15  16 -54.813109 -Inf
3 15  17 -41.013448 -Inf
3 15  18 -48.734617 -Inf
3 15  19 -54.614000 -Inf
3 15  20 -54.834622 -Inf
